match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20190831-M-US_Open-R32-Denis_Shapovalov-Gael_Monfils,denis_shapovalov,gael_monfils,l,r,m,20190831,us_open,r32,19:25,Louis Armstrong Stadium,hard,John Blom,5,1,Zindaras,2019,6,6,6
20190830-M-US_Open-R32-Feliciano_Lopez-Daniil_Medvedev,feliciano_lopez,daniil_medvedev,l,r,m,20190830,us_open,r32,20:45,Louis Armstrong,hard,Damien Dumusois,5,1,Zindaras,2019,6,6,6
20190829-M-US_Open-R64-Thomas_Fabbiano-Alexander_Bublik,thomas_fabbiano,alexander_bublik,r,r,m,20190829,us_open,r64,,8,hard,,5,1,Zindaras,2019,6,6,6
20190829-M-US_Open-R64-Paolo_Lorenzi-Miomir_Kecmanovic,paolo_lorenzi,miomir_kecmanovic,r,r,m,20190829,us_open,r64,,14,hard,Louise Azemar Engzell,5,1,Zindaras,2019,6,6,6
20190829-M-US_Open-R64-Hugo_Dellien-Daniil_Medvedev,hugo_dellien,daniil_medvedev,r,r,m,20190829,us_open,r64,13:20,Grandstand,hard,,5,1,Zindaras,2019,6,6,6
20190829-M-US_Open-R64-Feliciano_Lopez-Yoshihito_Nishioka,feliciano_lopez,yoshihito_nishioka,l,l,m,20190829,us_open,r64,,4,hard,Mariana Alves,5,1,Zindaras,2019,6,6,6
20190828-M-US_Open-R64-Reilly_Opelka-Dominik_Koepfer,reilly_opelka,dominik_koepfer,r,l,m,20190828,us_open,r64,21:50,Louis Armstrong Stadium,hard,Kelly Thomson,5,1,Zindaras,2019,6,6,6
20190828-M-US_Open-R64-Alex_De_Minaur-Cristian_Garin,alex_de_minaur,cristian_garin,r,r,m,20190828,us_open,r64,17:30,5,hard,Jaume Campistol,5,1,Zindaras,2019,6,6,6
20190827-M-US_Open-R128-Stefanos_Tsitsipas-Andrey_Rublev,stefanos_tsitsipas,andrey_rublev,r,r,m,20190827,us_open,r128,11:10,Louis Armstrong Stadium,hard,Damien Dumusois,5,1,Zindaras,2019,6,6,6
20190827-M-US_Open-R128-Robin_Haase-Diego_Schwartzman,robin_haase,diego_schwartzman,r,r,m,20190827,us_open,r128,16:55,11,hard,,5,1,Zindaras,2019,6,6,6
20190827-M-US_Open-R128-Dominic_Thiem-Thomas_Fabbiano,dominic_thiem,thomas_fabbiano,r,r,m,20190827,us_open,r128,15:05,Arthur Ashe,hard,Carlos Ramos,5,1,Zindaras,2019,6,6,6
20190826-M-US_Open-R128-Nikoloz_Basilashvili-Marton_Fucsovics,nikoloz_basilashvili,marton_fucsovics,r,r,m,20190826,us_open,r128,11:10,6,hard,,5,1,Zindaras,2019,6,6,6
20190826-M-US_Open-R128-Janko_Tipsarevic-Denis_Kudla,janko_tipsarevic,denis_kudla,r,r,m,20190826,us_open,r128,11:10,12,hard,Louise Azemar Engzell,5,1,Zindaras,2019,6,6,6
20190820-M-Winston_Salem-R32-Robin_Haase-Joao_Sousa,robin_haase,joao_sousa,r,r,m,20190820,winston_salem,r32,13:10,4,hard,,3,1,Zindaras,2019,6,6,6
20190820-M-Winston_Salem-R32-Denis_Shapovalov-Tennys_Sandgren,denis_shapovalov,tennys_sandgren,l,r,m,20190820,winston_salem,r32,,,hard,Renaud Lichtenstein,3,1,Edged,2019,6,6,6
20190819-M-Winston_Salem-R64-Marco_Cecchinato-Alexander_Bublik,marco_cecchinato,alexander_bublik,r,r,m,20190819,winston_salem,r64,15:10,2,hard,,3,1,Zindaras,2019,6,6,6
20190818-M-Winston_Salem-R64-Denis_Kudla-Robin_Haase,denis_kudla,robin_haase,r,r,m,20190818,winston_salem,r64,17:10,,hard,Richard Haigh,3,1,Zindaras,2019,6,6,6
20190818-M-Cincinnati_Masters-F-Daniil_Medvedev-David_Goffin,daniil_medvedev,david_goffin,r,r,m,20190818,cincinnati_masters,f,4:35 PM,Center,hard,Ali Nili,3,1,Carrie,2019,6,6,6
20190817-M-Cincinnati_Masters-SF-Novak_Djokovic-Daniil_Medvedev,novak_djokovic,daniil_medvedev,r,r,m,20190817,cincinnati_masters,sf,18:10,Center,hard,Mohamed Lahyani,3,1,Zindaras,2019,6,6,6
20190817-M-Cincinnati_Masters-SF-David_Goffin-Richard_Gasquet,david_goffin,richard_gasquet,r,r,m,20190817,cincinnati_masters,sf,,,hard,Adel Nour,3,1,Edged,2019,6,6,6
20190815-M-Cincinnati_Masters-R16-Andrey_Rublev-Roger_Federer,andrey_rublev,roger_federer,r,r,m,20190815,cincinnati_masters,r16,,,hard,Fergus Murphy,3,1,Edged,2019,6,6,6
20190815-M-Cincinnati_Masters-R16-Alex_De_Minaur-Yoshihito_Nishioka,alex_de_minaur,yoshihito_nishioka,r,l,m,20190815,cincinnati_masters,r16,,,hard,Manuel Absolu,3,1,Edged,2019,6,6,6
20190814-M-Meerbusch_CH-R32-Karim_Mohamed_Maamoun-Pedro_Sousa,karim_mohamed_maamoun,pedro_sousa,r,r,m,20190814,meerbusch_ch,r32,18:00,Centre,clay,,3,1,ahmedabdelaal,2019,6,6,6
20190814-M-Cordenons_CH-R16-Aleksandar_Vukic-Andrea_Collarini,aleksandar_vukic,andrea_collarini,r,l,m,20190814,cordenons_ch,r16,11:00am,,clay,,3,1,Robaar,2019,6,6,6
20190814-M-Cincinnati_Masters-R32-Karen_Khachanov-Nick_Kyrgios,karen_khachanov,nick_kyrgios,r,r,m,20190814,cincinnati_masters,r32,,,hard,Fergus Murphy,3,1,Edged,2019,6,6,6
20190814-M-Cincinnati_Masters-R32-Daniil_Medvedev-Benoit_Paire,daniil_medvedev,benoit_paire,r,r,m,20190814,cincinnati_masters,r32,13:05,Stadium 3,hard,Fergus Murphy,3,1,Carrie,2019,6,6,6
20190813-M-Cincinnati_Masters-R64-Kyle_Edmund-Daniil_Medvedev,kyle_edmund,daniil_medvedev,r,r,m,20190813,cincinnati_masters,r64,15:50,Stadium 3,hard,Ali Nili,3,1,Carrie,2019,6,6,6
20190813-M-Cincinnati_Masters-R64-Grigor_Dimitrov-Stan_Wawrinka,grigor_dimitrov,stan_wawrinka,r,r,m,20190813,cincinnati_masters,r64,11:10,Centre,hard,,3,1,Zindaras,2019,6,6,6
20190812-M-Meerbusch_CH-R64-Johan_Sebastien_Tatlot-Karim_Mohamed_Maamoun,johan_sebastien_tatlot,karim_mohamed_maamoun,r,r,m,20190812,meerbusch_ch,r64,,,clay,,3,1,ahmedabdelaal,2019,6,6,6
20190812-M-Cincinnati_Masters-R64-Jordan_Thompson-Yoshihito_Nishioka,jordan_thompson,yoshihito_nishioka,r,l,m,20190812,cincinnati_masters,r64,,,hard,,3,1,Edged,2019,6,6,6
20190812-M-Cincinnati_Masters-R64-Andy_Murray-Richard_Gasquet,andy_murray,richard_gasquet,r,r,m,20190812,cincinnati_masters,r64,14:55,Centre,hard,Mohamed Lahyani,3,1,Zindaras,2019,6,6,6
20190809-M-Canada_Masters-QF-Dominic_Thiem-Daniil_Medvedev,dominic_thiem,daniil_medvedev,r,r,m,20190809,canada_masters,qf,,,hard,Nacho Forcadell,3,1,Edged,2019,6,6,6
20190809-M-Canada_Masters-QF-Alexander_Zverev-Karen_Khachanov,alexander_zverev,karen_khachanov,r,r,m,20190809,canada_masters,qf,,,hard,Gianluca Moscarella,3,1,Edged,2019,6,6,6
20190808-M-Canada_Masters-R16-Felix_Auger_Aliassime-Karen_Khachanov,felix_auger_aliassime,karen_khachanov,r,r,m,20190808,canada_masters,r16,,,hard,Mohamed Lahyani,3,1,Edged,2019,6,6,6
20190808-M-Canada_Masters-R16-Dominic_Thiem-Marin_Cilic,dominic_thiem,marin_cilic,r,r,m,20190808,canada_masters,r16,,,hard,,3,1,Edged,2019,6,6,6
20190806-M-Canada_Masters-R64-Hubert_Hurkacz-Taylor_Fritz,hubert_hurkacz,taylor_fritz,r,r,m,20190806,canada_masters,r64,,,hard,Gianluca Moscarella,3,1,Edged,2019,6,6,6
20190805-M-Canada_Masters-R64-Gael_Monfils-Peter_Polansky,gael_monfils,peter_polansky,r,r,m,20190805,canada_masters,r64,20:50,Centre,hard,Mohamed Lahyani,3,1,Zindaras,2019,6,6,6
20190804-M-Washington-F-Nick_Kyrgios-Daniil_Medvedev,nick_kyrgios,daniil_medvedev,r,r,m,20190804,washington,f,,Stadium,hard,Gianluca Moscarella,3,1,Edged,2019,6,6,6
20190803-M-Washington-SF-Stefanos_Tsitsipas-Nick_Kyrgios,stefanos_tsitsipas,nick_kyrgios,r,r,m,20190803,washington,sf,,,hard,Gianluca Moscarella,3,1,Edged,2019,6,6,6
20190803-M-Washington-SF-Peter_Gojowczyk-Daniil_Medvedev,peter_gojowczyk,daniil_medvedev,r,r,m,20190803,washington,sf,9:40 PM,Centre,hard,Greg Allensworth,3,1,Zwaehn,2019,6,6,6
20190803-M-Los_Cabos-F-Taylor_Fritz-Diego_Schwartzman,taylor_fritz,diego_schwartzman,r,r,m,20190803,los_cabos,f,22:35,Centre,hard,Nacho Forcadell,3,1,Zindaras,2019,6,6,6
